Boro;Offense;num_offens
BRONX;ASSAULT;313
BRONX;DRIVING;19
BRONX;HEALTH&DRUGS;63
BRONX;OTHER;23
BRONX;PUBLIC ORDER;158
BRONX;THEFT&FRAUD;274
BRONX;WEAPONS;11
BROOKLYN;ASSAULT;388
BROOKLYN;DRIVING;42
BROOKLYN;HEALTH&DRUGS;58
BROOKLYN;MANSLAUGHTER;3
BROOKLYN;OTHER;48
BROOKLYN;PUBLIC ORDER;237
BROOKLYN;THEFT&FRAUD;424
BROOKLYN;WEAPONS;29
MANHATTAN;ASSAULT;222
MANHATTAN;DRIVING;19
MANHATTAN;HEALTH&DRUGS;62
MANHATTAN;OTHER;22
MANHATTAN;PUBLIC ORDER;143
MANHATTAN;THEFT&FRAUD;469
MANHATTAN;WEAPONS;18
QUEENS;ASSAULT;256
QUEENS;DRIVING;34
QUEENS;HEALTH&DRUGS;10
QUEENS;KIDNAPPING;1
QUEENS;OTHER;23
QUEENS;PUBLIC ORDER;135
QUEENS;THEFT&FRAUD;298
QUEENS;WEAPONS;18
STATEN ISLAND;ASSAULT;57
STATEN ISLAND;DRIVING;7
STATEN ISLAND;HEALTH&DRUGS;8
STATEN ISLAND;MANSLAUGHTER;2
STATEN ISLAND;OTHER;6
STATEN ISLAND;PUBLIC ORDER;43
STATEN ISLAND;THEFT&FRAUD;55
STATEN ISLAND;WEAPONS;2
