Boro;Offense;num_offens
BRONX;ASSAULT;34750
BRONX;DRIVING;2686
BRONX;HEALTH&DRUGS;7145
BRONX;KIDNAPPING;34
BRONX;MANSLAUGHTER;75
BRONX;OTHER;2436
BRONX;PUBLIC ORDER;19313
BRONX;SEX CRIMES;32
BRONX;THEFT&FRAUD;32792
BRONX;WEAPONS;2404
BROOKLYN;ASSAULT;40980
BROOKLYN;DRIVING;4147
BROOKLYN;HEALTH&DRUGS;6580
BROOKLYN;KIDNAPPING;56
BROOKLYN;MANSLAUGHTER;119
BROOKLYN;OTHER;5762
BROOKLYN;PUBLIC ORDER;24190
BROOKLYN;SEX CRIMES;1
BROOKLYN;THEFT&FRAUD;50372
BROOKLYN;WEAPONS;2530
MANHATTAN;ASSAULT;27558
MANHATTAN;DRIVING;2145
MANHATTAN;HEALTH&DRUGS;6356
MANHATTAN;KIDNAPPING;20
MANHATTAN;MANSLAUGHTER;51
MANHATTAN;OTHER;2303
MANHATTAN;PUBLIC ORDER;18094
MANHATTAN;THEFT&FRAUD;53277
MANHATTAN;WEAPONS;1888
QUEENS;ASSAULT;28832
QUEENS;DRIVING;3731
QUEENS;HEALTH&DRUGS;1416
QUEENS;KIDNAPPING;26
QUEENS;MANSLAUGHTER;51
QUEENS;OTHER;3838
QUEENS;PUBLIC ORDER;16730
QUEENS;THEFT&FRAUD;33489
QUEENS;WEAPONS;1577
STATEN ISLAND;ASSAULT;7408
STATEN ISLAND;DRIVING;1005
STATEN ISLAND;HEALTH&DRUGS;704
STATEN ISLAND;KIDNAPPING;7
STATEN ISLAND;MANSLAUGHTER;13
STATEN ISLAND;OTHER;765
STATEN ISLAND;PUBLIC ORDER;4576
STATEN ISLAND;THEFT&FRAUD;6193
STATEN ISLAND;WEAPONS;273
