Boro;Offense;Law Cat;Latitude;Longitude
BROOKLYN;DRIVING;MISDEMEANOR;40.632058;-73.896861
MANHATTAN;THEFT&FRAUD;FELONY;40.765066196;-73.996561142
QUEENS;PUBLIC ORDER;MISDEMEANOR;40.738052585;-73.916803573
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.682097528;-74.006282199
MANHATTAN;THEFT&FRAUD;FELONY;40.707538782;-74.00639641
BRONX;PUBLIC ORDER;MISDEMEANOR;40.839312083;-73.875094178
MANHATTAN;THEFT&FRAUD;FELONY;40.803050334;-73.949024785
BRONX;ASSAULT;VIOLATION;40.846606943;-73.887886316
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.665768566;-73.908805
QUEENS;ASSAULT;VIOLATION;40.692012944;-73.821225633
STATEN ISLAND;PUBLIC ORDER;MISDEMEANOR;40.531673537;-74.219455623
MANHATTAN;DRIVING;MISDEMEANOR;40.738513268;-73.991799243
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.65690638;-73.885091156
QUEENS;ASSAULT;VIOLATION;40.667672093;-73.790254287
BRONX;THEFT&FRAUD;FELONY;40.877054254;-73.900216363
BROOKLYN;THEFT&FRAUD;FELONY;40.662518015;-73.927011804
MANHATTAN;DRIVING;MISDEMEANOR;40.731696979;-73.982317815
BRONX;ASSAULT;MISDEMEANOR;40.890170084;-73.842610405
BROOKLYN;OTHER;FELONY;40.677781508;-73.935860415
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.78689986;-73.807974263
MANHATTAN;PUBLIC ORDER;FELONY;40.764813576;-73.994023352
BRONX;ASSAULT;VIOLATION;40.875496771;-73.881491568
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.696761685;-73.84007016
BRONX;PUBLIC ORDER;MISDEMEANOR;40.847931977;-73.916199883
BROOKLYN;ASSAULT;VIOLATION;40.664416386;-73.891022091
BRONX;ASSAULT;MISDEMEANOR;40.82828654;-73.907032114
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.781662782;-73.834439086
BRONX;ASSAULT;VIOLATION;40.810684318;-73.917413602
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.762069525;-73.92974364
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.598161532;-73.962569542
BRONX;THEFT&FRAUD;MISDEMEANOR;40.881261603;-73.903128392
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.735043882;-73.862025325
BROOKLYN;ASSAULT;MISDEMEANOR;40.640071884;-73.955202683
MANHATTAN;ASSAULT;VIOLATION;40.737203099;-73.983272598
MANHATTAN;ASSAULT;MISDEMEANOR;40.71452952;-73.990990564
QUEENS;WEAPONS;FELONY;40.693329908;-73.791543893
BROOKLYN;THEFT&FRAUD;FELONY;40.683464046;-73.955032918
MANHATTAN;THEFT&FRAUD;FELONY;40.800650386;-73.969278581
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.766508632;-73.982362725
BRONX;WEAPONS;FELONY;40.805996404;-73.92145063
QUEENS;ASSAULT;MISDEMEANOR;40.767128544;-73.897417172
BRONX;OTHER;FELONY;40.791151867;-73.884371919
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.699235227;-73.753333403
QUEENS;ASSAULT;MISDEMEANOR;40.686116627;-73.784099011
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.793217107;-73.967274016
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.74759008;-73.884396999
BROOKLYN;DRIVING;MISDEMEANOR;40.679227833;-73.904049189
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.688604586;-73.985073283
BRONX;THEFT&FRAUD;MISDEMEANOR;40.873632243;-73.856534512
BROOKLYN;ASSAULT;VIOLATION;40.587915586;-73.955936146
MANHATTAN;WEAPONS;MISDEMEANOR;40.804384046;-73.937421669
BRONX;THEFT&FRAUD;FELONY;40.871231333;-73.840348386
STATEN ISLAND;PUBLIC ORDER;MISDEMEANOR;40.636816592;-74.080118607
BROOKLYN;ASSAULT;VIOLATION;40.574169725;-73.995141899
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.631749112;-73.927232798
BRONX;PUBLIC ORDER;MISDEMEANOR;40.857924499;-73.89195221
QUEENS;THEFT&FRAUD;FELONY;40.763132943;-73.873338244
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.76068323;-73.976444296
BRONX;HEALTH&DRUGS;MISDEMEANOR;40.832633767;-73.925365282
